kana,hina,romaji,english,explanation
クシャッ,くしゃっ,kusha,(1) *crush* *smash*;(2) *pat* *rub* *rustle*,(1) SFX for stepping on something and crushing it;(2) SFX for patting someone on the head in an approving manner
クシャクシャ,くしゃくしゃ,kusha kusha,(1) *messed up*;(2) *crumple* *wrinkle*;(3) *scrunch up* *crumpled* *wrinkled*;(4) *contorted*;(5) *murmur* *mumble*,(1) Messed up hair;(2) Crumpled piece of paper;(5) SFX for speaking unintelligibly or very quietly under one's breath
クシャン,くしゃん,kushan,*achoo*,SFX for a sneeze.
クシュ,くしゅ,kushu,*sneeze* *ah-choo!*,
クシュン,くしゅん,kushun,*ha'kchoo**ah-choo**achoo**at-choo*,"SFX for a short sneeze.  Sneeze, like ハックション."
クスッ,くすっ,kusu,(1) *tsk*;(2) *laugh* *giggle*;(3) *chuckle* *heh*,"(2) A little laugh;(3) A sarcastic, slightly twisted laugh; a laugh with wry humor."
クス,くす,kusu,(1) *heh* *heh heh*;(2) *snicker*,"(1) SFX for a sarcastic laugh or chuckle (light);(2) SFX for condescending, light laughter or sneering"
クスクス,くすくす,kusu kusu,(1) *tsk tsk*;(2) *giggle*,
クスン,くすん,kusun,*sob * *sniff*,
クタ,くた,kuta,*droopy* *wilted* *limp*,Used to describe people or plants.  See also *guttari*.
クタクタ,くたくた,kuta kuta,*exhausted*,
クタリ,くたり,kutari,(1) *tired* *out of energy*;(2) *droopy* *wilted* *limp*,(1) Drained of all energy to move;(2) Used to describe people or plants; see also *guttari*.
クワッ,くわっ,kuwa,(1) *whoa* *up close* *close* *very close*;(2) *glare* *rawr* *grrr*,"(1) When something or someone suddenly gets very very close, spatially speaking, and you can see more detail than you really need to;(2) When someone turns around or whirls around in anger"
ゲッ,げっ,ge,*ack!**gah!*,
ゲボ,げぼ,gebo,*throw up* *choke*,
ゲエ,げえ,gee,*gasp* *wheeze*,SFX for gasping for air or breath.
ゲフ,げふ,gefu,*burp* *belch*,"Commonly used in comedy manga to express ""あぁぁぁぁぁぁぁ〜！"" (Ahhhhh! sigh of relief) notion."
ゲホ,げほ,geho,*cough*,"See also *goho*, *kehen*, *kon*, and *koho*."
ゲホゲホ,げほげほ,geho geho,*cough cough* *choke*,SFX for when you are choking/coughing.
ゲコッ,げこっ,geko,*croak* *ribbit*,Croaking of a frog.
ゲンナリ,げんなり,gennari,*exhausted*,So much that it appears you've lost weight and look thinned out.
ゲプッ,げぷっ,gepu,*bloated* *full*,
ゲラゲラ,げらげら,gera gera,(1) *giggle giggle*(2) *laugh loudly**guffaw**hoarse laugh*(3) *belly laugh*,(1) Like *kera kera* but when you are giggling quite loudly.(2) Loud laughter bordering (or past bordering) rudeness.
ゲレ,げれ,gere,*kicking*,
ゲロゲロ,げろげろ,gero gero,(1) *yuuuukkkkk*;(2) *ribbit ribbit*,(2) Frog's cry.
ゲシ,げし,geshi,*kick*,
ゲシゲシ,げしげし,geshi geshi,(1) *bushy*;(2) *kick kick*,
ゲッソリ,げっそり,gessori,(1) *haggard**tired**ill*;(2) *lost weight**losing weight*;(3) *shoom*,"(3) SFX for a supernatural effect, such as a spirit leaving a body."
ゲタゲタ,げたげた,geta geta,*haw haw**snicker**hee hee*,"SFX for a horse-like laugh, like a rough guffaw."
ケッ,けっ,ke,*hmph*,"Laugh at someone, especially when you look down on them."
ケーブツ,けーぶつ,ke-butsu,*scorn* *glare*,"SFX for extreme, antagonistic tone or expression."
ケヘン,けへん,kehen,*cough*,"Light cough.  See also *geho*, *gofu*, *goho*, *kon*, and *koho*."
ケホ,けほ,keho,*cough*,
ケッケッ,けっけっ,kekke,*hehe**heh heh*,"An evil laugh, not quite as strong as *bwahaha*."
ケラケラ,けらけら,kera kera,*giggle giggle**laugh*,See also *gera gera*.
ケロ,けろ,kero,*croak**ribbit*,Croaking of a frog.
ケロケロ,けろけろ,kero kero,*wibbit wibbit**croak croak**ribbit ribbit*,SFX for the croaking of a frog.
ケロリ,けろり,kerori,*unaffected* *casual* *unimpressed*,
ケタケタ,けたけた,keta keta,*giggle giggle*,
ゴッ,ごっ,go,(1) *whack*;(2) *thump* *thunk* *bam*;(3) *roar*,"(1) ""Karate chop!"";(2) SFX for semi-strong impact;(3) SFX for a burst of sudden power or force"
ゴー,ごー,go-,(1) *roar*;(2) *blast* *boom*,"(1) Can be a fire sound, often used for Hiei's fire attacks.  See also *bo*, *guo-*, and *po*;(2) Sound of loud explosion"
ゴーン,ごーん,go-n,(1) *dooom*;(2) *gong* *doong* *dong* *gwoong*,"(1) SFX for foreboding, depressing or anxious atmosphere;(2) SFX for the resounding sound of a bell, such as the ringing sound of a temple bell."
ゴーンゴーン,ごーんごーん,go-n go-n,*ding dong*,Very loud sound of a bell.
ゴア,ごあ,goa,*crack* *crumble**rumble* *roar*,"SFX for the after-effects of a large explosion, such as pillars breaking and stones and rocks crumbling."
ゴバア,ごばあ,gobaa,*whoosh*,SFX for a powerful whirlwind or gust of wind.
ゴチャゴチャ,ごちゃごちゃ,gocha gocha,(1) *all mixed up**cluttered**messy*;(2) *fwp fwp*;(3) *disordered**mixed up**confused*;(4) *confused**disordered*;(5) *mixed up**jumbled*;(6) *gripe**grumble*,"(2) SFX for paper-shuffling, such as the moving of one pile of paper to another pile;(3) SFX for confusion, relative to surroundings;(4) SFX for clutter and confusion;(5) SFX for loss of orientation or sense of direction;(6) SFX for griping about trifling matters"
ゴチ,ごち,gochi,*thump* *whump* *hit*,"SFX for comedic impact, like when someone gets smacked upside the head (not necessarily in a pain-inducing way)."
ゴチゴチ,ごちごち,gochi gochi,(1) *hard* *tough*;(2) *hard*,"(1) SFX for something that's too hard to bite into;(2) SFX for something that is particularly hard, texture-wise"
ゴチン,ごちん,gochin,*bang* *smack* *impact*,"SFX for a light collision, like with 2 heads.W-san: ""Another comical collision sound.""See also *gashan* and *gashin*."
ゴフ,ごふ,gofu,*cough*,
ゴガア,ごがあ,gogaa,(1) *crumble* *rumble*;(2) *crash* *smash*,"(1) SFX for the destructive effects after an explosion, like rocks breaking apart;(2) SFX for a powerful force and explosion, like some form of offensive attack"
ゴゴゴ,ごごご,gogogo,(1) *rumble rumble rumble*;(2) *menace* *threatening atmosphere*;(3) *whrrr**whirr**wrrr*,"(2) Build up of intense emotion, ex. Jojo no Kimyou na Monogatari; for other menacing sounds, see *gi gi* and *uzo uzo*;(3) The sound of an engine whirring."
ゴホッ,ごほっ,goho,*cough*,
ゴホ,ごほ,goho,*cough* *choke*,"SFX of when one is drowning, deep wet cough.  See also *geho*, *gofu*, *kehen*, *kon*, and *koho*."
ゴホゴホ,ごほごほ,goho goho,*cough cough*,Deep coughing.
ゴホン,ごほん,gohon,(1) *ahem*;(2) *wet cough*,"(1) With a *cough* added to it;(2) A deep, wet cough, also vomiting up water; see also *geho*, *gofu*, *kehen*, *kon*, and *koho*."
ゴイン,ごいん,goin,*kick**impact*,"SFX for something hitting, i.e. in a fight."
ゴキッ,ごきっ,goki,(1) *break**snap*;(2) *crack**disjoint*;(3) *bam**smack*;(4) *flash*,(1) Ex: Breaking a bone;(2) Ex: Cracking one's knuckles;(3) To strike something hardSee also *goki-* and *gokin*.
ゴキー,ごきー,goki-,(1) *break**snap*;(2) *crack**disjoint*;(3) *bam**smack*;(4) *flash*,(1) Ex: Breaking a bone;(2) Ex: Cracking one's knuckles;(3) To strike something hardSee also *gokin* and *goki*.
ゴキィアア,ごきぃああ,gokiiaa,*ka-bam!**ker-wham!*,Hitting something or someone really really hard.
ゴキキキ,ごききき,gokikiki,*roarrr*,SFX for strong fire engulfing something.
ゴキン,ごきん,gokin,(1) *break**snap*;(2) *crack**disjoint*;(3) *bam**smack*;(4) *flash*,(1) Ex: Breaking a bone;(2) Ex: Cracking one's knuckles;(3) To strike something hardSee also *goki-* and *goki*.
ゴックン,ごっくん,gokkun,*swallow**gulp**glug*,See also *goku* and *gokun*.
ゴックリ,ごっくり,gokkuri,*nod* *nodding off*,Like when nodding off to sleep because of exhaustion or having an all-nighter.
ゴク,ごく,goku,*gulp* *swallow*,See also *kokun*.
ゴクゴク,ごくごく,goku goku,*gulp gulp gulp*,Gulping down water.
ゴクン,ごくん,gokun,*gulp* *swallow*,See also *kokun*.
ゴキュ,ごきゅ,gokyu,*gulp* *swallow*,See also *kokun* and *goku*.
ゴン,ごん,gon,(1) *kick* *slam*;(2) *bonk* *whack*,"(1) SFX for a super kick/slam;(2) To hit something really hard.  Hard enough for the proverbial ""gong"" sound."
ゴンゴン,ごんごん,gon gon,(1) *noogie noogie*;(2) *grind grind*;(3) *bump bump**nudge bump*,"(1) A hard poke or grind with the knuckles, esp. on a person's head;(2) SFX for rubbing one's knuckles against something;(3) SFX for running into something and bumping into a subject"
ゴォォー,ごぉぉー,gooo-,(1) *burning* *on fire*;(2) *brrr*;(3) *blast* *boom*;(4) *fwoosh* *whoosh*;(5) *roar*,"(1) Sound of fire burning ferociously;(2) Loud machines at work;(3) Sound of explosion;(4) SFX for a void, black hole, or vortex type space;(5) SFX for a vortex type space, or the sound of a powerful machine, i.e. the roar of an engine or airplane."
ゴリゴリ,ごりごり,gori gori,*grind* *scrape*,
ゴロ,ごろ,goro,(1) *rolling over*;(2) *squkk*,
ゴロゴロ,ごろごろ,goro goro,(1) *rolling*;(2) *purrr*;(3) *rumble rumble*;(4) *idle* *relaxed*;(5) *gurgle*;(6) *laze about* *idle*;(7) *upset stomach*;(8) *flash*;(9) *gwah ha ha**bwa ha ha**bwahaha*,"(1) Expressing something rolling around like *koron*, but something bigger like a human being or large rocks.  See also *koro koro*;Ex: falling luggage, rumbling thunder, stomach rumble;(2) Cat purring;(3) SFX for ominous weather, such as thunder rumbling and preparing for a storm;(5) See also *gara gara*;(8) Sound of lightning;(9) SFX for carefree laughter, such as the laughter associated with laziness."
ゴロン,ごろん,goron,*rolling over*,
ゴロンゴロン,ごろんごろん,goron goron,(1) *roll roll**rolling around*;(2) *rumble rumble*,"(1) Emphasis on sense of laziness, ex. Momo in Kimipe;(2) SFX for something falling and rolling around, such as a boulder rolling."
ゴロロ,ごろろ,gororo,*roll roll*,SFX for rolling around on the ground.
ゴシャァッ,ごしゃぁっ,goshaa,*ker-wham* *ka-whoosh*,"SFX for a rather dramatic explosion of force, especially in a fighting context."
ゴシ,ごし,goshi,*scrubbing* *rubbing* *wiping* *wipe*,See also *koshi*.
ゴシゴシ,ごしごし,goshi goshi,(1) *scrub scrub*;(2) *rub rub*,
ゴソ,ごそ,goso,(1) *rustle**rummage*;(2) *stealthy movement*,(1) When you are searching for something.
ゴソゴソ,ごそごそ,goso goso,*rustle rustle**ruffle rustle**rummage rummage*,"To dig for something in cloth-like material, like in one's pockets."
ゴス,ごす,gosu,*smash* *smack* *ker-wham* *wham*,To strike or kick.
ゴトン,ごとん,goton,*tonk* *clunk* *clonk*,"SfX for a light, semi-muffled clattering sound."
ゴツ,ごつ,gotsu,(1) *hit* *whack*,(1) When you've hit your head on something;(2) SFX for something hard like a rock.
ゴウン,ごうん,goun,,The sound of a washing machine.  The sound of a dryer is *guon*.
ゴウウ,ごうう,gouu,*roar*,"Can be a fire sound, often used for Hiei's fire attacks.  See also *bo*, *guo-*, and *po*."
ゴワゴワ,ごわごわ,gowa gowa,*rigid*,"When the clothes you wear are stiff, rigid, and when it doesn't feel right."
コッ,こっ,ko,*tap**step*,"SFX for running or walking footsteps, such as up the stairs or down a hallway."
コチョコチョ,こちょこちょ,kocho kocho,(1) *tickle tickle*;(2) *koochie-koochie koo*;(3) *secret*,"(1) If ""-suru"" is added (kocho kocho suru), translates to ""to tickle."""
コチョク,こちょく,kochoku,*frozen* *paralyzed*,
コホ,こほ,koho,*cough*,"Light cough.  See also *goho*, *kehen*, and *kon*."
コイ,こい,koi,*come on*,As a fighting phrase.
コイコイ,こいこい,koi koi,*come come*,SFX for beckoning someone. Derived from the verb *to come* or 「来る」.
コケッ,こけっ,koke,*stumble* *tumble*,
コケコッコー,こけこっこー,kokekokko,*cock a doodle doo*,Sound of a rooster in the morning.
コケコッコー,こけこっこー,kokekokko-,*cock-a-doodle-doo*,SFX for the cry of a rooster.
コキコキ,こきこき,koki koki,*crack crack**crack snap**snap*,"SFX for cracking one's joints or bones, like after a tough workout or in preparation for a fight."
コッケコッコー,こっけこっこー,kokke kokko-,cock-a-doodle-doo,
コッコ,こっこ,kokko,*clack**cluck*,Sound of a hen clucking.
コッコー,こっこー,kokko-,*cock-aa* *cock-aaa*,SFX for the sound of a rooster or hen call.
コックン,こっくん,kokkun,(1) *swallow* *gulp*;(2) *nod*,
コックリコックリ,こっくりこっくり,kokkuri kokkuri,*nodding off to sleep**zzz*,SFX for the sound of sleeping or deep breathing during slumber.
コク,こく,koku,(1) *nod* *yep*;(2) *swallow*,"(1) To tip one's head in agreement or approval of something;(2) See also *kokun*, *goku* and *gokun*."
コクコク,こくこく,koku koku,(1) *yup yup**yep yep**that's right*;(2) *nodding**nod nod**nods*,To tip one's head repeatedly in agreement or approval of something.
コクン,こくん,kokun,(1) *nod*;(2) *swallow*,(2) See also *goku* and *gokun*.
コクリ,こくり,kokuri,*nod*,
コクリコクリ,こくりこくり,kokuri kokuri,*nodding off to sleep**nod nod**nods*,
コン,こん,kon,(1) *knock*;(2) *soft cough*;(3) *bang* *release**opens*,"(1) Often used when something is being put down softly/gently; knocking on door;(2) See also *goho*, *kehen*, and *koho*;(3) SFX for something being revealed or opened.  Can be in an explosive context, such as opening a ""Pandora's Box"" tone."
コンコン,こんこん,konkon,*knock knock*,
コンモリ,こんもり,konmori,(1) *mountain full*;(2) *lock up*,"(1) When something is piled up high, like fried rice;(2) When you lock yourself up or seclude yourself somehow (whether it'd be in your room or under the blankets)."
コオ,こお,koo,*fwoosh* *rumble*,"SFX for a great presence (can be environmental, indoors, or personified by a humanoid figure etc)."
コポ,こぽ,kopo,*pouring*,
コポコポ,こぽこぽ,kopo kopo,(1) *clipk clipk clipk*;(2) *boiling*,(1) SFX for pouring liquid;(2) SFX for coffee boiling on a coffee maker.
コポンッ,こぽんっ,kopon,*pop* *burst*,"SFX for a short, sharp, explosive sound."
コポポポ,こぽぽぽ,kopopopo,(1) *slosh**splash*;(2) *slosh* *pour*,"(1) SFX for dropping liquid, more splash-like rather than dripping;(2) SFX for liquid during a pouring motion or a falling motion, such as when pouring tea or juice etc."
コリ,こり,kori,(1) *scrape*;(2) *chew*;(3) *stiff*(4) *crunch*,(1) Sound of something scraping;(2) Biting something a little hard;(3) When something is a little hard/stiff;(4) As in eating.
コリコリ,こりこり,kori kori,(1) *scrape*;(2) *chew chew*;(3) *stiff*;(4) *crunchy*,(4) Ex. biting on cartilage.
コロ,ころ,koro,*drop* *tumble*,"Dropping something, something rolling or tumbling.  See also *poro*."
コロコロ,ころころ,koro koro,(1) *roll roll*;(2) *tumbling**tumble*;(3) *flip-flop*,"(1) Small round object rolling.  See also *goro goro*;(2) Cutely and innocently;(3) Ex: describing a cute but really fat dog, ""cute and fat"""
コロン,ころん,koron,*roll* *fall* *tumble*,Usually something small like a dice.  See also *poro*.
コシコシ,こしこし,koshi koshi,*rubbing* *wiping*,See also *goshi* and *geshi*.
コショコショ,こしょこしょ,kosho kosho,*tickle tickle*,"SFX for tickling, a softer tickle than *kocho kocho*."
コソ,こそ,koso,*sneak* *whisper*,
コソコソ,こそこそ,koso koso,*escapes**secretly**secretly escapes**sneaks away**creep creep*,"SFX for someone sneaking around, or trying to sneak away."
コッソリ,こっそり,kossori,(1) *sneak**secretly*;(2) *gently*,
コト,こと,koto,*clink* *clunk* *tap*,SFX for putting something down softly.
コトン,ことん,koton,*clink**thunk**clunk*,SFX for putting something down softly.
コツコツ,こつこつ,kotsu kotsu,(1) little by little;(2) *tick tick*;(3) *clack clack* *click click*;(4) *rhythmic*,"(3) Clicking of high heels;(4) Rhythmic, having a beat."
コツン,こつん,kotsun,(1) *clink*;(2) *step* *ka-thunk*,"(1) Little clink, like the sound of a glass being put down or a tear gem falling;(2) SFX for a heavy footfall, like boots.  See also *katsun*."
コッテリ,こってり,kotteri,*rich* *heavy*,"SFX describing food.  Ex: Rich, heavy stew."
コワーッ,こわーっ,kowa-,*scary!* *nooo!*,"SFX for literally crying out ""scary!"" or ""noo!"" in an exaggerated manner.Comes from the adjective ""scary"" or 「こわい」."
サッ,さっ,sa,(1) *hiss* *rain* *water running*;(2) *quick*;(3) *rustle* *wind*;(4) *step*;(5) *stands up quickly*;(6) *kick* *hit*;(7) *hides quickly* *hides* *hide* *cover*,"(1) Softer sound than *zaa*, which can also be rain;(2) Quick motion;(3) Rustling, windy;(6) Done in a fast motion."
ササ,ささ,sa sa,*quick*,Quick motion.
サッサッ,さっさっ,sa sa,*brush* *stroke* *swish* *sketch* *fwsh*,"Light, quick, brushing motion.  Like writing with pencil on paper."
サー,さー,sa-,(1) *rain* *hss*;(2) *rustling* *wind*,"(1) Hissing, rain, water running (softer sound than *zaa*, which can also be rain)."
サー,さー,sa-,(1) *going pale*;(2) *fsshhh*,"(1) Sound of someone's blood drawing, one going pale;(2) A light flow of water."
サーッ,さーっ,sa-,*chill* *gloom*,"SFX for a worried, stressful atmosphere (can be incorporated as humor)."
サァァ,さぁぁ,saa,*fwsssshh**rainfall**shaaa*,"Light rain, or rain suddenly starting to fall.See also *zaa* and *sa-*."
サク,さく,saku,(1) *step*;(2) *munch* *bite*;(3) *pierce*;(4) *pierce* *cut*,"(3) SFX for puncturing through a crusty object;(4) SFX for emotional or dramatic effect, such as when a cutting remark is made"
サクサク,さくさく,saku saku,(1) *thud thud*;(2) *crunch crunch*;(3) *cut*,"(1) SFX of soft footsteps on grass;(2) SFX for quietly eating something lightly crunchy, like biscuits;(3) Cutting a thin and light object.  See also *zaku zaku*."
サッパリ,さっぱり,sappari,*refreshed**refreshing**neat**clean*,
サラッ,さらっ,sara,*swish* *fwish*,SFX for swishing hair.
サラ,さら,sara,(1) *ruffle* *rustle*;(2) *touch*,"(1) To brush against something soft, usually cloth-like or somewhat elastic material;(2) Almost a caress, done gently"
サラサラ,さらさら,sara sara,(1) *silky* *smooth*;(2) *light*;(3) *dry*;(4) *squeaky clean*;(5) *murmur*;(6) *rustle*;(7) *flow* *flows smoothly*,"(1) SFX which expresses silkiness. smoothly flowing, ex. hair.  See also *zara zara*;(5) Ex: murmuring brook or river or flowing water; See also *gasa gasa*;(6) Ex: rustle of hair, falling powder-like material; See also *gasa gasa*;(7) Like water or a liquid."
ササッ,ささっ,sasa,(1) *rustle*;(2) *slash* *slice*;(3) *scoot* *back up* *retreat*,"(2) Like the vicious, fast movement of a sword cutting through something;(3) To move back or retreat in the face of danger or intimidation"
ササン,ささん,sasan,*slash slash* *slice slice* *shyaa*,"Like the vicious, fast movement of a sword cutting through something."
サササ,さささ,sasasa,*slide* *show* *pass* *sneak* *dash**scuttle away*,"Quick, hasty movement, sometimes to express secretive nature of action."
サッサ,さっさ,sassa,*style* *brush*,
サッサト,さっさと,sassato,*quickly*,"Usually used in a condescending or patronizing tone:Ex: ""Hurry up and finish your homework!""Ex: ""Go on now!"""
サスサス,さすさす,sasu sasu,(1) *shake shake*;(2) *rub rub*,(1) Like when waking someone up.
サット,さっと,satto,(1) *quickly*;(2) *roughly**skim*,"(1) In terms of speed;(2) To quickly go through something, Ex: skim through the newspaper without going through all the details."
サワ,さわ,sawa,*fresh* *refreshing* *clear* *fluent* *eloquent* *invigorating*,
サワサワ,さわさわ,sawa sawa,*feel feel*,SFX for when people touch others; usually H-related.
ザ,ざ,za,*whoosh**fwuush**fwiishh*,"Strong, energetic movement."
ザッ,ざっ,za,(1) *thud* *slide*;(2) *footstep on grass* *walking quickly* *running through grass/bushes*;(3) *white noise*;(4) *knock* *swipe*;(5) *shwipp*;(6) *stand*;(7) *rush* *dash*;(8) *rustle*;(9) *push* *shove* *blocks*;(10) *skuff*;(11) *turn* *whirls around*,"(1) SFX for when one slides their shoes on gravel or grass; expresses the existence of that character; sound of people/person walking;(3) Generic white noise sound, can be TV static, etc;(4) SFX for when knocking things off a table with your arm;(5) SFX for sudden, swift, deadly, and/or covert movement;(6) Instead of just *white noise*;(9) SFX for stepping over something or someone protectively, and pushing it/them back."
ザザ,ざざ,za za,*rustling* *woosh* *whoosh*,"Ex. Wind rustling in leaves, grass."
ザー,ざー,za-,(1) *vssshh* *raining*;(2) *rustle*;(3) *sliide* *slip*,"(1) SFX for water; usually heavy rain or an aggressive flow of water.  Softer sound than *zaa*, which can also be rain; louder rain than *saa*;(2) Rustling of cloth, clothing, usually for appearance of a character;(3) SFX for a sliding motion"
ザーザー,ざーざー,za- za-,*rustling*,"Ex. Wind rustling in leaves, grass."
ザァァ,ざぁぁ,zaa,(1) *rain* *sss**raining**pouring*;(2) *fwoosh* *woosh* *whoosh*,"(1) SFX for the hiss of heavy rainfall, stronger sound than *za-*;(2) SFX for a strong gust of wind"
ザバ,ざば,zaba,(1) *big splash*;(2) *splatter*,"(1) Big splash, usually with water overflowing.  See also *jabon*, *shapu*.See *bashan*, *picha*, and *pisha* for smaller splashes;(2) SFX for a splashing, messy effect"
ザブ,ざぶ,zabu,(1) *big splash*;(2) *whap* *thwap*,"(1) See also *jabon* and *shapu*.See also *bashan*, *picha*, and *pisha* for smaller splashes."
ザブザブ,ざぶざぶ,zabu zabu,*wash wash* *swish swosh*,Like at a river.  Notion that you are hand-washing.
ザブン,ざぶん,zabun,*big splash*,"See also *jabon* and *shapu*.See also *bashan*, *picha*, and *pisha* for smaller splashes."
ザカザカ,ざかざか,zaka zaka,*thud thud thud* *stride stride*,"SFX for short, purposeful footsteps."
ザックザック,ざっくざっく,zakku zakku,*snip snip* *cut cut*,"SFX for cutting something, like scissors used to cut hair."
ザク,ざく,zaku,(1) *stab*;(2) *thunk*;(3) *mutter* *chatter* *murmur* *buzz*,"(1) Usually a deep stab, with a knife.  See also ブス (Busu).  Can also be a mental stab;(3) Sound of a crowd of people, background chatter noise."
ザクザク,ざくざく,zaku zaku,(1) *cut*;(2) *cut* *stab stab*,"(1) Cutting a thick and heavy object.  See also *saku saku*;(2) SFX for multiple, deep stabs.  Can also be mental stabs, i.e. when cutting remarks are made."
ザン,ざん,zan,(1) *tumble* *fall*;(2) *slash*;(3) *fwump* *lifts* *carries*,"(2) Like with a knife or sword in an aggressive manner;(3) SFX for suddenly lifting and carrying something heavy, like a muffled grunt"
ザンッ,ざんっ,zan,(1) *tumble* *fall**lands* *fwump*;(2) *slash*,"(1) SFX for hitting the ground in fight, like in a roll or dive move;(2) Like the slash of a sword."
ザンブ,ざんぶ,zanbu,(1) *plunge* *dunk* *ga-dunk*;(2) *plunge* *splash*,(1) SFX for something big or heavy plunging into water;(2) SFX for plunging something into water
ザンブリ,ざんぶり,zanburi,(1) *plunge* *ga-dunk* *dunk*;(2) *splash*;(3) *crash*,"(1) SFX for something big, heavy, and bulky plunging into water;(2) SFX for something falling into water;(3) SFX for something falling into water, emphasis on the impact"
ザッパーン,ざっぱーん,zappa-n,(1) *spla---sh*;(2) *va-vwooosh**woosh*,"(1) SFX for a big splash, notion that there is a big wave after the splash;(2) SFX for a very large body of water making impact, such as a tsunami wave"
ザラッ,ざらっ,zara,(1) *rough* *coarse*;(2) *granular* *crumbling*;(3) *coarse* *sandy* *gritty*;(4) *everything* *thrown together* *dump* *toss*,"(4) SFX for a bunch of stuff mixed together that has a lot of texture and/or variety.Ex: Stir-fry veggies where you mix ""everything but the kitchen sink""."
ザラザラ,ざらざら,zara zara,*rough* *bumpy* *sandy*,SFX for a rough texture; opposite to サラサラ (Sara sara).
ザシャーッ,ざしゃーっ,zasha-,*fushaa* *shaa*,"SFX for something sliding, like landing on sand and trying to stop."
ザシ,ざし,zashi,*lash* *slash*,
ザシュ,ざしゅ,zashu,*slash*,Usually with a sword.
ザット,ざっと,zatto,(1) *quickly**roughly*;(2) *cursory**briefly*,"(1) To do something fast because they might be impatient or out of time;(2) To give something only a moment of attention, Ex: glance at the newspaper, skim through notes quickly.See also *satto*."
ザワッ,ざわっ,zawa,(1) *shine*;(2) *wrap*,(1) To light up or shine when you see someone.
ザワ,ざわ,zawa,(1) *rustle*;(2) *crowd noise* *chatter* *buzz*,(1) May be specific to plants.
ザワザワ,ざわざわ,zawa zawa,(1) *chatter chatter**buzz**jabber jabber*;(2) *rustle rustle*;(3) *mutter mutter**buzz buzz*,"(1) SFX for liveliness, noise, crowd like ガヤガヤ (Gaya gaya);(2) SFX for the leaves of a forest moving."
ザザーン,ざざーん,zaza-n,*sha-shaaa**shaa*,SFX for calm waves of water.
ザザザ,ざざざ,zazaza,(1) *footstep in grass**walk quickly**running through grass*;(2) *vssshhhaaaa**vvssshhh*;(3) *run run run*,"(1) Running through grass or bushes;(2) A ""fwishing"" kind of sound, can be grassy or liquid-like;(3) SFX for several quick footsteps, like when running away from something or charging towards something.See also *zuzaza* (ズザザ)."
ザザザッ,ざざざっ,zazaza,(1) *dash*;(2) *slide*,"(1) SFX for a quick motion, such as when one runs or races for something;(2) SFX for a quick and smooth motion, for swiftness"
ザッザッ,ざっざっ,zazza,*rustling* *footsteps* *marching* *ka-chink ka-chink* *thud thud* *fwsshhh shaa*,Rustling sound of many footsteps trying to be stealthy.  See also *zazaza*.
ジャ,じゃ,ja,*flow* *rush* *hiss*,"Water or liquid flowing or rushing, or any other hissing sound.  See also *jo*, *ju*, and *zu*."
ジャッ,じゃっ,ja,*scuff* *step*,SFX for stepping (or a light impact) on gravel or a similar rough surface.
ジャー,じゃー,ja-,(1) *flowing water* *rush*;(2) *whishhh!*,"(1) SFX for flowing water, heavier than シャー (Shaa-); any other hissing sound;(2) Something slicing through the air."
ジャーン,じゃーん,ja-n,tadahhh!,
ジャババ,じゃばば,jababa,*fwisshh*,SFX for faucet running.
ジャボン,じゃぼん,jabon,(1) *splash* *splosh*;(2) *big splash*,"(1) Into the water;(2) See also *shapu* and *zabu*.See also *bashan*, *picha*, and *pisha* for smaller splashes."
ジャブジャブ,じゃぶじゃぶ,jabu jabu,*splash splash*,SFX for water splashing.
ジャッジャッ,じゃっじゃっ,jajja,*cook* *fry* *sizzle*,SFX usually for when you are frying something in the kitchen.
ジャカ,じゃか,jaka,*cocks* *clack*,"Sound of cocking a gun, a clacking noise."
ジャキ,じゃき,jaki,(1) *ka-ching*;(2) *click click*,"(1) SFX for when taking out something sharp, usually scissors;(2) SFX for loading guns."
ジャキンッ,じゃきんっ,jakin,(1) *shing*;(2) *shnip* *snip* *cut*,"(1) SFX for something sharp, like a pair of scissors;(2) SFX for cutting something using something sharp, like a blade or pair of scissors"
ジャクンッ,じゃくんっ,jakun,*shoomp* *shwoomp* *whoosh* *fwoosh*,"SFX for releasing something, like whipping out a baton or stick and it expands."
ジャン,じゃん,jan,*tada!* *tada*,As if in flashy exposition or display.
ジャンジャン,じゃんじゃん,jan jan,(1) *tada!* *tah-dah!*;(2) *a lot*,
ジャパンジャパン,じゃぱんじゃぱん,japan japan,*splash splash*,Usually with a lot of water and usually when you are actually making the splashing water.  Ex. kids in pools.
ジャプジャプ,じゃぷじゃぷ,japu japu,*splash*,See also *zabun*.
ジャラジャラ,じゃらじゃら,jara jara,*ka-ching ka-ching*,SFX for sound of coins rattling.
ジャリ,じゃり,jari,(1) *cold* *scary* *forbidding*;(2) *suddenly* *appears*,"(1) To make an intimidating appearance, like a bully or yakuza making an appearance and changing the mood completely and suddenly."
ジャリジャリ,じゃりじゃり,jari jari,(1) *grainy*;(2) *crunchy*,(1) Sound of gravel moving;(2) Sensation of something sandy in one's mouth.
ジ,じ,ji,(1) *pause*;(2) *silence* *stare*,"(1) Moment of silence, hesitation;(2) As in staring at someone, or looking at something for an extended period of time.  Comes from the ""ji"" in ""jiro jiro miru"" (じろじろ見る)."
ジッ,じっ,ji,*lites* *flame*,SFX for a match being lit.
